2017/09/20 20:37:58 loading corpus...
2017/09/20 20:37:59 loaded 264 programs (3328 total, 0 deleted)
2017/09/20 20:37:59 serving http on http://127.0.0.1:10086
2017/09/20 20:37:59 serving rpc on tcp://[::]:60363
2017/09/20 20:37:59 booting test machines...
2017/09/20 20:37:59 wait for the connection from test machine...
2017/09/20 20:38:18 received first connection from test machine vm-0
2017/09/20 20:38:19 executed programs: 0, crashes: 0
2017/09/20 20:38:29 executed programs: 2229, crashes: 0
2017/09/20 20:38:39 executed programs: 21611, crashes: 0
2017/09/20 20:38:49 executed programs: 32893, crashes: 0
2017/09/20 20:38:50 shutting down...
2017/09/20 20:39:38 loading corpus...
2017/09/20 20:39:39 loaded 331 programs (3395 total, 0 deleted)
2017/09/20 20:39:39 serving http on http://202.45.128.160:10086
2017/09/20 20:39:39 serving rpc on tcp://[::]:40581
2017/09/20 20:39:39 booting test machines...
2017/09/20 20:39:39 wait for the connection from test machine...
2017/09/20 20:39:58 received first connection from test machine vm-0
2017/09/20 20:39:59 executed programs: 0, crashes: 0
2017/09/20 20:40:09 executed programs: 3289, crashes: 0
2017/09/20 20:40:19 executed programs: 22498, crashes: 0
2017/09/20 20:40:29 executed programs: 30449, crashes: 0
2017/09/20 20:40:39 executed programs: 46444, crashes: 0
2017/09/20 20:40:49 executed programs: 54497, crashes: 0
2017/09/20 20:40:59 executed programs: 71123, crashes: 0
2017/09/20 20:41:09 executed programs: 80278, crashes: 0
2017/09/20 20:41:19 executed programs: 97947, crashes: 0
2017/09/20 20:41:29 executed programs: 107795, crashes: 0
2017/09/20 20:41:39 executed programs: 120807, crashes: 0
2017/09/20 20:41:49 executed programs: 138515, crashes: 0
2017/09/20 20:41:59 executed programs: 152474, crashes: 0
2017/09/20 20:42:09 executed programs: 159436, crashes: 0
2017/09/20 20:42:19 executed programs: 174566, crashes: 0
2017/09/20 20:42:29 executed programs: 188417, crashes: 0
2017/09/20 20:42:39 executed programs: 200461, crashes: 0
2017/09/20 20:42:49 executed programs: 216197, crashes: 0
2017/09/20 20:42:59 executed programs: 226295, crashes: 0
2017/09/20 20:43:09 executed programs: 243325, crashes: 0
2017/09/20 20:43:19 executed programs: 257154, crashes: 0
2017/09/20 20:43:29 executed programs: 272152, crashes: 0
2017/09/20 20:43:39 executed programs: 276933, crashes: 0
2017/09/20 20:43:49 executed programs: 291930, crashes: 0
2017/09/20 20:43:59 executed programs: 311605, crashes: 0
2017/09/20 20:44:09 executed programs: 322872, crashes: 0
2017/09/20 20:44:19 executed programs: 339583, crashes: 0
2017/09/20 20:44:29 executed programs: 343619, crashes: 0
2017/09/20 20:44:39 executed programs: 355032, crashes: 0
2017/09/20 20:44:49 executed programs: 373364, crashes: 0
2017/09/20 20:44:59 executed programs: 391036, crashes: 0
2017/09/20 20:45:09 executed programs: 395738, crashes: 0
2017/09/20 20:45:19 executed programs: 411470, crashes: 0
2017/09/20 20:45:29 executed programs: 427089, crashes: 0
2017/09/20 20:45:39 executed programs: 431024, crashes: 0
2017/09/20 20:45:49 executed programs: 446271, crashes: 0
2017/09/20 20:45:59 executed programs: 464595, crashes: 0
2017/09/20 20:46:09 executed programs: 476218, crashes: 0
2017/09/20 20:46:19 executed programs: 493060, crashes: 0
2017/09/20 20:46:29 executed programs: 502624, crashes: 0
2017/09/20 20:46:39 executed programs: 515222, crashes: 0
2017/09/20 20:46:49 executed programs: 526594, crashes: 0
2017/09/20 20:46:59 executed programs: 540831, crashes: 0
2017/09/20 20:47:09 executed programs: 552555, crashes: 0
2017/09/20 20:47:19 executed programs: 568809, crashes: 0
2017/09/20 20:47:29 executed programs: 580548, crashes: 0
